image_filename,relative_path,subject,year,section,question_no,question_type,correct_answer,marks,negative_marks,usable
CSE_001.png,CSE/CSE/CSE_001.png,CSE,,CSE,1,MCQ,C,,,yes
CSE_002.png,CSE/CSE/CSE_002.png,CSE,,CSE,2,MCQ,B,,,yes
CSE_003.png,CSE/CSE/CSE_003.png,CSE,,CSE,3,MCQ,D,,,yes
CSE_004.png,CSE/CSE/CSE_004.png,CSE,,CSE,4,MCQ,C,,,yes
CSE_005.png,CSE/CSE/CSE_005.png,CSE,,CSE,5,MCQ,A,,,yes
CSE_006.png,CSE/CSE/CSE_006.png,CSE,,CSE,6,MCQ,C,,,yes
CSE_007.png,CSE/CSE/CSE_007.png,CSE,,CSE,7,MCQ,D,,,yes
CSE_008.png,CSE/CSE/CSE_008.png,CSE,,CSE,8,MCQ,A,,,yes
CSE_009.png,CSE/CSE/CSE_009.png,CSE,,CSE,9,NAT,3,,,yes
CSE_010.png,CSE/CSE/CSE_010.png,CSE,,CSE,10,MCQ,A,,,yes
CSE_011.png,CSE/CSE/CSE_011.png,CSE,,CSE,11,NAT,-5,,,yes
CSE_012.png,CSE/CSE/CSE_012.png,CSE,,CSE,12,NAT,4,,,yes
CSE_013.png,CSE/CSE/CSE_013.png,CSE,,CSE,13,MCQ,B,,,yes
CSE_014.png,CSE/CSE/CSE_014.png,CSE,,CSE,14,MCQ,C,,,yes
CSE_015.png,CSE/CSE/CSE_015.png,CSE,,CSE,15,MCQ,C,,,yes
CSE_016.png,CSE/CSE/CSE_016.png,CSE,,CSE,16,MCQ,C,,,yes
CSE_017.png,CSE/CSE/CSE_017.png,CSE,,CSE,17,MCQ,A,,,yes
CSE_018.png,CSE/CSE/CSE_018.png,CSE,,CSE,18,NAT,5,,,yes
CSE_019.png,CSE/CSE/CSE_019.png,CSE,,CSE,19,MCQ,B,,,yes
CSE_020.png,CSE/CSE/CSE_020.png,CSE,,CSE,20,MCQ,D,,,yes
CSE_021.png,CSE/CSE/CSE_021.png,CSE,,CSE,21,MCQ,C,,,yes
CSE_022.png,CSE/CSE/CSE_022.png,CSE,,CSE,22,MCQ,B,,,yes
CSE_023.png,CSE/CSE/CSE_023.png,CSE,,CSE,23,MCQ,B,,,yes
CSE_024.png,CSE/CSE/CSE_024.png,CSE,,CSE,24,MCQ,C,,,yes
CSE_025.png,CSE/CSE/CSE_025.png,CSE,,CSE,25,MCQ,A,,,yes
CSE_026.png,CSE/CSE/CSE_026.png,CSE,,CSE,26,NAT,0.99,,,yes
CSE_027.png,CSE/CSE/CSE_027.png,CSE,,CSE,27,NAT,2,,,yes
CSE_028.png,CSE/CSE/CSE_028.png,CSE,,CSE,28,MCQ,A,,,yes
CSE_029.png,CSE/CSE/CSE_029.png,CSE,,CSE,29,NAT,0.7428,,,yes
CSE_030.png,CSE/CSE/CSE_030.png,CSE,,CSE,30,NAT,10,,,yes
CSE_031.png,CSE/CSE/CSE_031.png,CSE,,CSE,31,MCQ,D,,,yes
CSE_032.png,CSE/CSE/CSE_032.png,CSE,,CSE,32,MCQ,B,,,yes
CSE_033.png,CSE/CSE/CSE_033.png,CSE,,CSE,33,MCQ,B,,,yes
CSE_034.png,CSE/CSE/CSE_034.png,CSE,,CSE,34,MCQ,D,,,yes
CSE_035.png,CSE/CSE/CSE_035.png,CSE,,CSE,35,MCQ,A,,,yes
CSE_036.png,CSE/CSE/CSE_036.png,CSE,,CSE,36,MCQ,C,,,yes
CSE_037.png,CSE/CSE/CSE_037.png,CSE,,CSE,37,MCQ,D,,,yes
CSE_038.png,CSE/CSE/CSE_038.png,CSE,,CSE,38,NAT,3.2,,,yes
CSE_039.png,CSE/CSE/CSE_039.png,CSE,,CSE,39,MCQ,B,,,yes
CSE_040.png,CSE/CSE/CSE_040.png,CSE,,CSE,40,MCQ,B,,,yes
CSE_041.png,CSE/CSE/CSE_041.png,CSE,,CSE,41,NAT,4,,,yes
CSE_042.png,CSE/CSE/CSE_042.png,CSE,,CSE,42,NAT,5,,,no
CSE_043.png,CSE/CSE/CSE_043.png,CSE,,CSE,43,NAT,69,,,yes
CSE_044.png,CSE/CSE/CSE_044.png,CSE,,CSE,44,NAT,-1,,,yes
CSE_045.png,CSE/CSE/CSE_045.png,CSE,,CSE,45,MCQ,D,,,yes
CSE_046.png,CSE/CSE/CSE_046.png,CSE,,CSE,46,NAT,12,,,yes
CSE_047.png,CSE/CSE/CSE_047.png,CSE,,CSE,47,MCQ,A,,,yes
CSE_048.png,CSE/CSE/CSE_048.png,CSE,,CSE,48,NAT,14020,,,yes
CSE_049.png,CSE/CSE/CSE_049.png,CSE,,CSE,49,MCQ,A,,,yes
CSE_050.png,CSE/CSE/CSE_050.png,CSE,,CSE,50,MCQ,C,,,yes
CSE_051.png,CSE/CSE/CSE_051.png,CSE,,CSE,51,MCQ,B,,,yes
CSE_052.png,CSE/CSE/CSE_052.png,CSE,,CSE,52,NAT,1,,,yes
CSE_053.png,CSE/CSE/CSE_053.png,CSE,,CSE,53,NAT,320 bytes,,,yes
CSE_054.png,CSE/CSE/CSE_054.png,CSE,,CSE,54,NAT,24,,,yes
CSE_055.png,CSE/CSE/CSE_055.png,CSE,,CSE,55,NAT,5,,,yes
CSE_056.png,CSE/CSE/CSE_056.png,CSE,,CSE,56,MCQ,C,,,yes
CSE_057.png,CSE/CSE/CSE_057.png,CSE,,CSE,57,NAT,2048,,,yes
CSE_058.png,CSE/CSE/CSE_058.png,CSE,,CSE,58,MCQ,D,,,yes
CSE_059.png,CSE/CSE/CSE_059.png,CSE,,CSE,59,NAT,36,,,yes
CSE_060.png,CSE/CSE/CSE_060.png,CSE,,CSE,60,NAT,6,,,yes
CSE_061.png,CSE/CSE/CSE_061.png,CSE,,CSE,61,MCQ,D,,,yes
CSE_062.png,CSE/CSE/CSE_062.png,CSE,,CSE,62,NAT,3,,,yes
CSE_063.png,CSE/CSE/CSE_063.png,CSE,,CSE,63,NAT,14,,,yes
CSE_064.png,CSE/CSE/CSE_064.png,CSE,,CSE,64,NAT,22,,,yes
